unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
b99416692f5bc01cdb444cbcec7e1105d30d455d,8dd990653cc2793d96b80ae45e928afc9a590b21b491eea3f522f42a72a5d323e79997fb7b2aab3486de73e89a4c9ae8e8cc377056b9b0d3de37ab822ce2cf33,5/29/2019 18:00:00,5/29/2019 18:30:00,1500,1.5,,,,,12.25,0.11,0,0,12.36,Credit Card,KOAM Taxi Association,,,,,,
b99887012c8beccc1dae3f6fcde2fc94ff0ef7b1,d156d4adff01addd62b65753ce67dc8e04bdaf60f7eb14a4a557f54062e2fc83ca1ebe1bf2cd9eb7aac4a12707cb5aa3e915d9fe1e729dfb5fa5657659e11eab,5/20/2019 19:15:00,5/20/2019 19:30:00,506,1.67,,,,,8,2,0,0,10.5,Credit Card,Chicago Carriage Cab Corp,,,,,,
b98b6b7afe1f8065d8ba71cd023d9a13f2460f84,beefd3462e3f5a8e854942a2796876f6db73ebbd25b43565ff4f3567ffd38428184fca347f76652a94a43a51e17d912650fea5b5e9be1e30cdde798ee93168d7,5/8/2019 0:00:00,5/8/2019 0:00:00,60,0,,,,,3.25,0,0,0,3.25,Cash,Taxi Affiliation Services,,,,,,
b9865af3673441b1a79973ad08bd9909bd422af4,ef249ea2c31ccb20ce9eb258d3116254a6f9fe05c7cc84c055207c5280324dfad3299739b719d7241794eef9c950da3dee20513774182b30f6c7fcc6d4e7fc1e,5/7/2019 16:30:00,5/7/2019 17:00:00,1122,2.86,,,,,12.25,0,0,1,13.25,Cash,Taxi Affiliation Service Yellow,,,,,,
e04dbd9a8ba723cc785c4b0398106b72e16d7870,45002471b85d61e62cf602a15145d2bff912e080f50470f83557cd990c60e7f530d3ff9982e08639c4a3a84bc898120032ed1a771bb8aa8a5d3b5fdd31bb3133,5/16/2013 8:15:00,5/16/2013 8:15:00,,0,,,,,24.05,6.01,0,0,30.06,Credit Card,Chicago Elite Cab Corp.,,,,,,
b997997e971c079dd0986102def2de49e879efe5,fa0a84435b292833f8429400e94600f4b71dd17cafbaf54e7ee337a28fb45cf758d7a69276efdd283eca0c39c4aca6dafed346b7518f82db275624aa3b128b4a,5/24/2019 13:15:00,5/24/2019 13:15:00,240,1.4,,,,,5.2,0,0,0,5.2,Cash,Taxi Affiliation Services,,,,,,
b989b45f0f49b64a8cc59f85aa2b49604286755d,8423aff4ae55153cc18d090c35b73b5cb6376b828d836df8886249451810d8a4b4acfa0f02861c0042317ce2eec824fff308bab887c9adc461e38286a8d0ad78,5/8/2019 9:45:00,5/8/2019 9:45:00,473,0.85,,,,,6.5,3,0,0,10,Credit Card,Taxi Affiliation Service Yellow,,,,,,
b9929c08951468b8199c0804456e11ad988c5792,9b2a23587b25fe43998076b3761b979ee91f9f5ac8bdac6422a1dff1b5d7a7def279cc2e4d805b60738c43dc4a7afdfd3c64d2cc9029a126f05e11f0195dd2ec,5/24/2019 5:45:00,5/24/2019 6:30:00,2518,17.89,,,,,44,8.9,0,0,53.4,Credit Card,Taxi Affiliation Service Yellow,,,,,,
b987f48069fbdffcdbb9cfcc24f67d7814a03645,54044c4ce47d539663e1520272de87e38a14d38ca23a666360031dadffe5fb5b8be396c3219a60f4b5325d461a8bb9c1202e3aedb1b1b77dfbfcdb68dd8c144e,5/1/2019 19:00:00,5/1/2019 20:00:00,2880,18,,,,,45.75,12.65,0,5,63.4,Credit Card,"Taxicab Insurance Agency, LLC",,,,,,
b9958c55b8d387cf335e4bb7703aeca2592fb847,b75e4a5f5666b60eec9f1446230f23270002318dd86ff0d2e0969afddc155fcd5bf394f221e4954373376133f389c74317f7887cbad925effd10a4c722654607,5/7/2019 18:00:00,5/7/2019 18:00:00,540,2.1,,,,,7.25,1.5,0,0,8.75,Credit Card,Star North Management LLC,,,,,,
