X1,X2,Class
1.644,0.321,0
-0.367,7.103,1
2.152,5.594,1
1.184,-1.784,0
-2.435,7.967,1
2.854,6.671,1
1.567,0.123,1
1.716,6.206,1
-2.231,-1.829,0
-0.298,7.99,1
-0.775,4.323,1
2.561,4.151,0
0.863,-2.005,0
1.937,6.867,1
-0.34,-2.681,0
-1.637,-0.351,0
0.328,-1.427,1
-2.617,5.544,1
1.966,-0.82,0
0.79,7.017,1
1.549,4.219,1
-0.873,-2.602,0
2.824,-2.94,0
2.359,-2.432,0
1.67,3.665,1
-1.832,5.816,1
-0.2,-0.376,1
-2.737,6.343,1
-2.074,-2.37,0
1.098,5.811,1
1.469,7.206,1
2.805,5.493,1
-1.045,4.679,1
-0.777,6.218,1
-0.183,-2.558,0
-1.863,-0.78,0
-2.22,-1.626,0
-0.146,2.55,1
-1.639,5.197,1
1.019,3.93,1
-0.377,6.362,1
1.996,-1.293,0
1.202,5.081,1
-1.126,-0.877,1
1.994,-0.022,0
1.829,4.809,1
-0.675,7.782,1
-1.27,3.727,1
1.095,-2.4,0
-2.161,3.779,1
-1.801,-2.534,0
-2.956,6.726,0
1.722,4.805,1
0.989,-1.096,1
1.231,-1.991,0
1.684,-0.981,0
-0.247,7.78,1
0.412,2.044,1
-2.161,5.625,1
-2.313,4.0,1
1.01,3.297,1
-0.173,-1.404,0
0.391,7.406,1
1.59,0.315,1
0.808,3.358,1
0.321,4.698,1
0.355,4.142,1
-1.176,7.347,1
-2.815,-1.367,0
-0.38,2.592,1
-1.712,1.444,0
-0.549,2.216,1
2.12,-1.689,0
-1.596,-1.525,0
-2.65,0.059,0
-1.312,0.352,1
-1.238,1.707,0
0.971,3.721,1
0.342,3.981,1
1.703,1.53,0
0.986,1.497,1
-0.562,-0.606,1
1.884,3.471,1
-1.998,0.487,0
-2.864,-2.603,0
-2.46,1.602,0
1.334,2.215,1
-0.229,-0.518,1
-2.032,3.297,1
0.006,3.223,1
-2.086,4.722,1
1.178,4.127,1
-0.323,4.177,1
-0.714,0.478,1
-1.191,5.662,1
0.782,3.041,1
-0.829,1.746,1
-2.474,3.886,1
-2.292,0.967,0
2.771,2.64,0
2.451,5.104,1
1.198,6.75,1
-1.405,7.132,1
2.815,2.54,0
1.673,2.723,1
1.301,5.799,1
-0.304,0.459,1
-1.367,6.211,1
-2.422,2.436,0
2.416,-1.726,0
-0.265,-2.207,0
-1.786,6.262,1
-1.164,-2.389,0
0.475,0.087,1
-1.939,0.675,0
2.14,-1.097,0
1.551,0.453,0
1.317,5.17,1
-0.407,-2.838,1
0.764,6.099,1
0.505,6.422,1
0.899,1.095,1
-2.493,-1.31,0
-0.505,3.609,1
-2.75,-1.684,0
-0.036,1.014,1
-1.021,7.543,1
-2.133,7.95,1
-2.38,5.493,1
0.526,0.421,1
-1.976,4.564,1
2.551,4.759,1
0.486,1.266,1
-0.919,4.05,1
0.545,-2.882,0
-2.863,-0.7,0
2.751,2.776,0
-0.106,-1.199,1
1.696,-1.175,0
-2.504,6.199,1
-0.08,7.88,1
-0.056,3.116,1
2.627,6.23,1
0.43,7.894,1
-0.159,-1.442,0
-1.398,1.931,1
-1.011,1.318,1
0.124,-2.119,0
-0.367,5.309,1
-2.87,1.772,0
1.958,2.163,1
2.377,-1.343,0
-2.159,-1.01,0
0.324,6.978,1
-2.349,-2.509,0
1.033,-0.439,0
-1.313,0.213,1
0.957,2.392,1
1.362,3.451,1
1.612,2.426,1
-2.354,-2.075,0
2.496,-0.32,0
-1.619,6.279,1
-2.776,4.013,0
0.329,4.141,1
-0.774,4.372,1
1.979,5.392,1
1.85,-2.361,0
-1.097,1.033,1
2.717,2.935,0
-1.254,0.723,1
0.09,6.289,1
-1.464,2.308,1
2.616,5.455,0
-2.012,6.372,1
-2.731,2.553,0
-0.389,7.005,1
2.954,3.458,0
2.35,6.353,1
1.492,0.746,1
2.345,2.487,1
2.361,2.846,0
0.113,-1.845,0
-1.104,1.384,1
1.632,7.091,1
0.97,3.939,1
-0.758,-1.047,1
-2.433,0.727,0
1.481,-0.892,0
-1.425,-2.727,0
2.621,7.202,1
-1.554,1.93,1
-2.263,0.383,0
1.987,3.583,1
-2.08,-2.92,0
-1.924,0.058,0
0.596,4.733,1
2.247,3.971,1
-1.821,7.8,1
-1.138,3.824,1
1.664,2.253,1
2.831,5.376,0
0.004,6.937,1
-2.137,4.928,1
-2.916,7.595,1
-1.622,5.602,1
-2.209,6.535,1
1.066,-1.745,0
-2.269,5.057,1
0.038,1.841,1
1.166,3.084,1
0.487,4.195,1
-1.801,7.668,1
1.825,7.83,1
1.292,0.171,1
1.434,5.071,1
-2.214,5.25,1
-2.257,0.811,0
2.565,-1.637,0
-0.615,-2.55,0
-1.194,5.551,1
-0.068,2.387,1
0.977,7.841,1
2.734,2.115,0
-1.281,7.757,1
2.549,1.527,0
-2.851,5.731,0
0.331,-2.067,0
0.804,3.11,1
-2.365,5.823,1
-2.158,7.172,1
-0.485,6.048,1
2.797,-2.593,0
0.576,1.1,1
2.598,-2.464,0
1.826,-1.798,0
-0.196,4.428,1
1.709,4.846,1
-2.893,5.511,0
-2.345,6.52,1
1.977,5.134,1
1.781,5.81,1
-1.604,-2.461,0
0.185,-0.42,1
0.636,3.841,1
2.206,6.439,1
0.619,-2.95,0
-0.525,2.661,1
-0.755,4.45,1
-0.445,-2.674,0
0.912,1.415,1
2.205,6.852,1
-0.277,4.388,1
-1.513,-0.386,0
-1.58,6.381,1
1.476,0.828,1
1.899,6.387,1
-2.368,0.288,0
-2.601,3.494,0
0.567,1.366,1
-2.123,0.023,0
1.948,6.752,1
-1.138,-0.936,1
-2.137,-2.067,0
2.526,0.761,0
-2.007,4.894,1
-1.292,5.882,1
-2.078,7.986,1
-2.307,0.26,0
-2.873,1.487,0
-2.668,-1.495,0
-1.952,3.324,1
-2.68,7.973,1
0.547,4.71,1
1.084,3.547,1
-0.638,1.316,1
-1.092,7.068,1
0.027,2.466,1
2.25,-1.522,0
2.107,1.019,0
-2.739,-2.261,0
-1.911,-0.778,0
-1.58,-2.806,0
-1.504,1.986,1
0.427,3.98,1
-0.502,0.776,1
-2.704,1.624,0
-0.758,7.551,1
0.143,5.272,1
-2.39,2.949,0
2.001,0.13,0
-2.688,6.867,1
2.549,-0.414,0
-2.405,0.579,0
2.061,7.0,1
2.416,2.825,0
2.877,5.165,0
1.812,3.498,1
1.677,4.188,1
0.855,0.293,1
1.674,-0.345,0
-2.193,0.547,0
0.216,-1.29,1
0.085,6.617,1
2.145,0.116,0
-0.223,3.176,1
-0.689,5.712,1
0.837,5.622,1
-1.401,1.822,1
-2.161,2.239,0
-0.133,7.942,1
-0.499,4.421,1
-1.605,5.961,1
-0.795,6.928,1
-0.802,5.663,1
-1.035,-0.963,1
-0.723,3.184,1
1.114,-1.879,0
-1.219,4.182,1
2.693,7.509,1
2.498,2.64,0
-0.115,1.763,1
-1.03,-2.606,0
0.213,7.558,1
2.091,-1.867,0
0.916,-2.548,0
1.826,-0.293,0
0.196,-2.279,0
0.798,2.006,1
-1.271,2.677,1
1.409,0.438,0
-1.786,-2.439,0
1.169,-1.772,0
2.164,1.23,0
-2.207,-2.334,0
0.686,4.68,1
-2.429,-0.723,0
1.354,0.323,1
-2.493,1.335,0
2.616,1.583,0
-2.176,-2.982,0
2.753,-1.767,0
1.805,6.49,1
0.562,-2.986,0
1.696,2.59,1
1.771,2.385,1
2.676,0.664,0
-1.48,1.745,1
0.54,5.586,1
-2.43,6.253,1
0.697,-0.136,1
-1.972,0.547,0
0.39,-0.333,1
0.435,2.278,1
-0.204,4.516,1
0.136,-0.489,1
1.584,0.638,0
1.795,7.234,1
-0.047,-2.466,0
0.598,2.068,1
2.587,4.827,1
-2.282,-1.345,0
-2.297,-2.479,0
-2.474,-1.48,0
0.947,7.107,1
-0.488,-2.898,0
1.646,-0.928,0
1.027,-2.656,0
-0.998,-1.783,0
2.39,3.822,1
1.575,-0.342,0
-1.377,3.261,1
-0.815,3.492,1
