Freq_Free,Freq_Money,Freq_Win,Freq_Meeting,Exclamation_Count,Message_Length,Spam
0.62,0.3,0.23,0.17,0,282,0
1.09,0.0,0.0,0.0,2,634,0
0.8,0.46,0.0,0.44,5,315,1
0.03,0.0,0.13,0.86,3,318,0
0.07,0.0,0.28,1.34,1,403,0
0.0,0.52,0.42,0.74,2,215,0
0.0,0.41,0.3,0.41,2,310,0
0.88,0.37,0.63,0.37,3,122,1
1.07,0.84,0.0,0.25,2,373,1
0.35,0.43,0.0,1.27,0,441,0
0.0,0.78,1.19,0.6,4,118,1
0.39,0.46,0.25,1.3,0,323,0
0.4,0.25,0.23,1.01,2,289,0
0.36,0.0,0.13,0.0,1,214,1
0.63,0.83,0.43,0.0,6,122,1
0.0,1.22,0.15,0.68,2,505,1
0.32,0.0,0.17,0.42,1,124,0
0.0,0.0,0.0,0.43,3,501,0
1.54,0.25,0.22,0.01,2,367,1
0.0,0.41,0.14,0.02,2,270,0
0.26,0.0,0.25,0.54,1,584,0
0.21,0.0,0.25,0.7,1,498,0
0.11,0.0,0.06,0.45,2,349,0
0.72,1.24,1.45,0.14,2,34,1
1.32,0.0,0.94,0.02,3,325,1
0.47,0.0,0.4,0.49,2,520,0
0.0,0.08,0.37,0.29,3,136,1
0.0,0.23,0.29,0.58,1,271,0
0.48,0.42,0.0,0.0,3,98,1
0.05,1.3,0.91,0.16,5,204,1
1.05,1.08,0.08,0.31,1,164,1
0.2,0.0,0.22,0.48,1,519,0
2.22,0.67,0.33,0.17,3,251,1
0.0,0.8,0.0,0.52,3,138,1
0.01,0.07,0.23,0.36,2,397,0
0.12,1.03,0.38,0.44,5,319,1
0.5,0.04,0.04,0.05,1,475,1
0.88,1.02,0.1,0.0,1,240,1
0.0,1.19,0.09,0.28,4,194,1
0.94,0.71,0.61,0.42,1,471,1
0.16,0.1,0.09,0.36,0,369,0
0.53,0.8,0.33,0.33,2,238,1
0.38,0.3,0.37,0.05,1,808,0
0.43,0.51,0.43,0.29,4,133,0
0.7,0.54,0.29,0.37,3,345,1
0.45,0.57,0.59,0.33,5,330,1
0.0,0.95,0.67,0.03,3,412,1
0.64,0.41,0.29,0.23,0,790,0
0.73,0.03,0.43,0.0,3,415,1
0.0,0.51,0.12,0.66,0,264,0
0.25,0.34,0.49,0.16,2,377,0
0.25,0.0,0.45,0.14,0,244,0
0.22,0.56,0.27,0.93,2,521,0
0.06,0.87,0.58,0.8,4,294,0
0.0,0.06,0.51,0.25,6,327,1
0.28,0.63,0.56,0.82,1,167,0
0.0,1.24,0.68,0.0,3,282,1
0.28,0.0,0.97,0.99,3,343,0
0.01,0.0,0.0,0.61,3,129,0
0.0,0.28,0.0,0.85,0,622,0
0.86,0.41,0.95,0.54,5,35,1
0.3,0.0,0.25,0.47,1,213,0
0.42,0.18,0.64,0.34,1,446,0
0.91,0.38,0.0,0.6,0,286,0
0.33,0.0,0.38,0.33,1,137,0
0.75,0.02,0.11,0.15,2,387,1
0.78,0.0,0.68,0.11,3,240,1
0.0,0.0,0.0,0.23,1,348,0
0.0,0.37,0.25,0.0,1,324,1
0.49,0.59,0.43,0.08,0,234,1
1.35,0.4,0.22,0.2,3,128,1
0.0,0.13,0.2,0.0,1,327,1
0.22,0.42,0.21,0.58,2,327,0
0.0,0.47,0.13,0.16,1,343,0
0.87,1.3,0.21,0.19,2,297,1
0.62,0.53,0.16,0.79,1,193,0
0.01,0.0,0.0,0.17,1,702,0
0.0,0.28,0.0,0.77,3,258,0
0.53,0.28,0.0,0.78,0,378,0
0.4,0.35,0.21,0.87,1,194,0
0.34,1.18,0.25,0.28,3,177,1
0.45,1.12,0.0,0.43,2,366,1
0.03,0.0,0.28,0.87,4,224,0
0.23,0.46,0.0,0.58,6,313,0
0.6,0.26,0.52,0.1,1,223,0
0.0,0.54,0.08,0.41,1,491,0
0.22,0.19,0.04,1.02,1,254,0
0.41,0.0,0.33,0.35,2,63,1
0.46,0.66,0.7,0.0,3,422,1
1.46,1.14,0.31,0.74,2,421,1
1.18,0.0,0.2,0.02,2,119,1
1.83,0.92,0.32,0.25,1,20,1
0.32,0.69,0.43,0.0,1,150,0
0.18,0.98,0.56,0.0,4,394,1
0.84,1.04,0.0,0.04,1,450,1
0.0,0.23,0.22,0.66,2,589,0
0.01,0.0,0.43,0.81,1,464,0
0.42,0.33,0.52,0.29,6,20,1
0.19,0.68,0.37,0.66,1,289,0
0.39,0.05,0.0,0.06,1,247,0
0.49,0.32,0.03,0.41,0,238,0
0.43,0.0,0.0,0.0,2,453,0
1.31,1.48,0.58,0.52,5,374,1
0.0,0.11,0.44,0.75,1,712,0
2.49,0.98,0.7,0.68,2,363,1
0.37,0.52,0.0,0.8,1,589,0
0.0,0.1,0.0,0.89,4,487,0
0.02,0.48,0.57,0.1,1,20,1
1.82,0.52,0.62,0.4,1,384,1
0.29,0.0,0.25,0.19,2,324,0
0.0,0.0,0.05,0.0,3,640,0
0.0,0.88,0.04,0.0,2,235,1
0.82,0.0,0.09,0.26,1,421,0
0.09,0.0,0.06,0.27,2,400,0
0.0,0.08,0.0,1.24,1,658,0
0.62,0.72,0.5,0.0,2,150,0
0.86,0.27,0.0,0.57,5,380,1
0.58,0.03,0.35,0.05,1,350,0
0.21,1.13,0.94,0.29,2,224,1
0.39,0.0,0.05,0.57,2,259,0
1.53,0.65,0.0,0.0,5,124,1
0.46,0.0,0.0,0.07,1,484,0
0.0,0.57,0.42,0.2,1,100,1
0.98,0.31,1.11,0.79,2,251,1
0.0,0.0,0.25,1.16,2,561,0
0.38,0.13,0.04,0.64,0,272,0
