Property_ID,List_Price,Market_Value,Price_Premium_%,Area_sqft,Bedrooms,Bathrooms,Age_Years,Condition_Score,Crime_Rate,School_Rating,Distance_to_City_km,Listing_Photos,Days_on_Market,Unsold_6_Months
P001,346000,307000,12.8,1469,3,2,18,5.7,22.7,8.0,7.1,39,156,0
P002,145000,164000,-11.4,857,2,1,38,4.4,24.7,8.5,10.2,19,7,0
P003,277000,303000,-8.5,1897,4,3,23,4.7,44.3,5.4,15.4,10,61,0
P004,283000,288000,-1.6,1863,4,3,23,7.5,37.3,2.6,22.5,7,189,1
P005,60000,58000,3.8,500,1,1,21,6.2,55.6,1.4,26.7,35,191,1
P006,163000,150000,8.5,874,2,2,30,5.3,33.0,6.4,13.6,8,165,0
P007,312000,289000,7.9,1205,3,3,22,5.9,2.0,9.7,1.7,19,81,0
P008,267000,232000,15.1,1253,2,2,24,5.7,30.3,7.1,11.2,28,216,1
P009,331000,287000,15.3,1632,4,2,13,6.7,34.0,5.5,12.6,22,170,0
P010,194000,200000,-2.9,1032,2,1,24,6.9,28.8,5.9,12.5,14,62,0
P011,257000,240000,7.1,1804,3,2,36,4.4,53.5,3.9,19.0,8,272,1
P012,335000,344000,-2.6,1816,5,3,10,7.6,31.3,4.4,13.7,29,7,0
P013,281000,272000,3.3,1537,3,2,36,4.0,27.4,5.7,13.0,22,122,0
P014,288000,267000,7.9,1668,4,3,38,4.4,31.2,6.7,15.8,6,176,0
P015,195000,262000,-25.7,1409,4,2,36,4.4,26.8,7.6,9.2,11,7,0
P016,232000,183000,26.7,1039,2,1,40,3.8,24.6,6.3,10.4,24,269,1
P017,318000,289000,10.1,1480,3,2,29,5.3,21.5,7.4,12.3,10,171,0
P018,182000,183000,-0.4,1126,2,2,27,5.1,40.4,4.9,16.7,18,107,0
P019,421000,344000,22.3,1757,4,3,27,4.4,23.4,7.4,7.8,9,222,1
P020,259000,254000,1.9,1145,3,1,10,7.8,7.2,9.1,5.5,32,21,0
P021,202000,190000,6.2,1165,3,2,16,6.0,33.8,3.9,16.3,27,102,0
P022,126000,125000,0.6,764,2,2,23,7.4,44.0,4.6,16.3,32,109,0
P023,492000,410000,19.9,1922,4,3,20,6.4,19.6,7.9,3.9,6,238,1
P024,249000,239000,4.1,1308,3,1,19,6.3,28.7,4.4,9.7,18,107,0
P025,231000,217000,6.3,1156,2,3,51,1.9,16.7,7.5,4.6,14,153,0
P026,264000,228000,15.8,1371,2,2,23,3.2,34.0,6.5,11.8,26,228,1
P027,370000,335000,10.3,1783,4,2,46,2.0,19.8,8.6,4.9,33,89,0
P028,296000,283000,4.5,1544,2,2,26,5.9,23.4,5.2,12.7,12,147,0
P029,284000,247000,15.0,1330,4,3,22,6.7,24.3,5.2,10.6,31,279,1
P030,479000,375000,27.8,1668,3,2,22,6.4,17.0,8.4,6.1,25,197,1
P031,486000,450000,7.9,2430,6,4,18,9.1,32.9,6.7,11.0,33,99,0
P032,215000,203000,6.1,1254,2,2,24,7.0,40.8,4.3,14.8,7,201,1
P033,226000,212000,6.5,1287,3,2,39,6.1,29.1,6.3,15.0,39,192,1
P034,203000,174000,16.8,894,2,2,13,6.8,27.4,7.0,11.4,20,215,1
P035,268000,269000,-0.4,1918,4,2,30,5.9,48.5,3.9,16.8,14,83,0
P036,356000,347000,2.5,1793,4,3,27,4.8,26.2,6.0,9.8,11,122,0
P037,235000,258000,-8.8,1439,3,1,11,8.3,35.4,5.9,18.6,39,78,0
P038,154000,163000,-5.7,819,3,1,32,4.4,19.3,7.6,7.4,35,31,0
P039,126000,126000,0.3,917,2,2,11,6.1,48.2,2.9,20.2,9,117,0
P040,333000,319000,4.5,1875,4,3,22,6.3,36.8,4.1,14.8,20,136,0
P041,274000,227000,20.9,1703,4,3,40,4.3,50.2,3.4,18.9,30,254,1
P042,330000,301000,9.8,1745,4,3,17,7.1,37.0,5.0,15.0,25,192,1
P043,211000,218000,-3.2,1129,3,1,9,7.6,24.2,6.3,10.9,11,21,0
P044,260000,264000,-1.6,1492,3,3,19,4.7,29.6,6.0,9.8,17,88,0
P045,316000,269000,17.4,1616,2,2,35,2.9,33.1,5.4,11.1,17,215,1
P046,283000,246000,15.1,1470,3,2,34,5.6,29.9,5.2,12.3,15,213,1
P047,297000,282000,5.3,1578,4,2,17,5.8,30.1,7.6,10.9,38,161,0
P048,232000,230000,1.0,1404,3,3,26,6.1,41.2,5.2,14.9,12,128,0
P049,378000,328000,15.1,1772,4,2,35,4.3,27.2,6.5,8.8,29,168,0
P050,283000,294000,-3.9,1478,3,2,17,7.6,29.7,7.5,9.5,36,7,0
P051,255000,235000,8.5,1342,4,1,42,4.1,30.5,6.0,12.2,32,89,0
P052,380000,303000,25.5,1597,3,2,24,5.8,21.3,5.9,9.6,32,196,1
P053,135000,126000,6.8,674,2,1,20,7.1,23.7,7.3,11.6,10,145,0
P054,297000,303000,-2.0,1212,4,1,2,9.8,11.4,7.9,2.8,9,7,0
P055,182000,167000,8.7,1023,3,2,48,3.5,29.0,6.6,13.5,32,154,0
P056,198000,196000,0.8,1037,3,1,18,8.6,28.2,5.3,14.0,31,102,0
P057,182000,197000,-7.5,1189,2,1,25,6.1,35.0,4.6,16.7,30,16,0
P058,391000,351000,11.3,2165,4,3,23,6.4,37.4,4.7,17.6,19,182,1
P059,197000,171000,15.1,1107,2,2,28,6.3,38.5,4.5,18.2,23,187,1
P060,308000,301000,2.2,1818,3,3,14,6.8,36.7,3.9,15.4,5,177,0
P061,107000,105000,1.6,596,1,1,30,4.9,35.3,6.5,12.8,15,189,1
P062,247000,257000,-3.7,1266,4,2,7,9.3,27.8,6.6,12.8,23,7,0
P063,251000,242000,3.7,1375,3,3,31,4.4,39.4,5.1,10.5,9,132,0
P064,268000,268000,-0.1,1526,4,3,13,7.9,37.6,4.6,13.8,9,141,0
P065,296000,309000,-4.1,1607,4,3,34,4.6,20.7,8.5,8.8,6,23,0
P066,400000,328000,22.0,1681,4,2,26,6.2,23.4,8.5,9.9,12,255,1
P067,199000,182000,9.2,1103,3,2,20,2.4,32.5,6.3,11.0,39,203,1
P068,228000,207000,10.2,1211,3,2,21,7.5,37.6,4.0,14.5,29,157,0
P069,440000,389000,13.0,1874,4,2,14,8.1,33.4,7.3,9.6,38,116,0
P070,231000,206000,11.9,1123,3,2,28,6.8,24.9,7.0,6.8,13,242,1
P071,124000,122000,1.3,829,2,2,26,5.3,46.5,4.3,17.4,25,209,1
P072,155000,144000,7.5,864,1,2,44,4.0,31.4,6.5,12.0,36,150,0
P073,193000,188000,2.6,1027,1,2,29,7.1,21.4,6.7,10.6,17,93,0
P074,254000,233000,8.9,1622,3,2,43,2.9,41.2,4.5,18.4,28,180,0
P075,243000,225000,8.1,1290,3,2,39,5.3,33.4,5.8,8.8,29,187,1
P076,239000,235000,1.6,1559,3,3,25,6.4,39.7,2.2,16.2,34,69,0
P077,251000,270000,-7.0,1211,3,1,7,8.7,17.9,8.4,1.4,38,7,0
P078,402000,378000,6.3,1595,3,2,0,10.0,11.9,8.1,6.0,26,13,0
P079,246000,238000,3.2,1416,3,3,28,5.6,27.2,6.0,12.2,25,111,0
P080,233000,265000,-12.0,1302,2,2,14,8.0,30.9,5.5,9.5,35,7,0
P081,250000,228000,9.6,1748,4,2,21,5.7,49.8,2.7,23.9,28,300,1
P082,189000,166000,13.7,1084,3,2,31,5.2,36.0,5.8,18.3,17,225,1
P083,296000,232000,27.8,1303,2,2,21,6.9,33.6,5.6,13.3,27,256,1
P084,183000,180000,1.5,1144,3,2,31,5.9,37.6,4.2,15.5,24,160,0
P085,167000,167000,0.2,848,2,1,22,6.8,21.7,7.4,11.2,13,86,0
P086,296000,312000,-5.0,1425,4,3,31,6.3,15.0,10.0,4.0,23,52,0
P087,136000,127000,6.9,907,2,2,42,2.7,35.9,3.3,15.1,26,210,1
P088,236000,221000,6.8,1519,3,3,48,2.6,33.9,4.8,11.9,36,173,0
P089,281000,288000,-2.3,1498,3,2,10,6.0,28.5,5.7,10.2,25,7,0
P090,338000,327000,3.4,1546,4,3,25,7.1,19.4,8.1,7.1,10,32,0
P091,197000,226000,-12.8,1533,4,2,35,5.2,46.0,4.0,21.4,39,7,0
P092,249000,220000,13.3,1186,3,3,33,6.4,25.1,7.5,11.1,25,181,1
P093,266000,271000,-1.9,1189,3,2,18,6.4,17.4,10.0,3.2,15,7,0
P094,196000,187000,4.7,1277,3,2,22,6.3,41.7,3.7,16.2,31,195,1
P095,92000,100000,-7.8,686,1,1,35,5.2,48.8,3.6,18.2,18,96,0
P096,148000,148000,-0.2,803,2,1,17,8.0,29.3,7.3,10.2,17,63,0
P097,161000,157000,2.5,843,2,2,7,9.7,40.0,4.8,15.2,34,28,0
P098,209000,199000,4.9,980,2,1,22,8.7,20.1,6.8,10.4,35,85,0
P099,378000,346000,9.3,1769,2,1,21,7.0,35.9,5.0,11.9,23,88,0
P100,158000,134000,18.0,864,3,2,22,7.4,48.3,4.3,18.7,18,203,1
P101,278000,249000,11.6,1223,3,1,17,7.3,21.3,7.6,11.1,35,143,0
P102,420000,369000,13.7,2121,3,4,19,8.4,33.1,7.0,14.7,11,212,1
P103,352000,298000,18.0,1391,2,2,19,7.9,21.7,6.9,5.3,31,136,0
P104,296000,269000,10.1,1561,4,3,23,6.8,39.9,6.2,18.2,25,180,0
P105,152000,145000,4.7,942,2,2,35,4.1,35.4,5.0,13.8,34,152,0
P106,334000,293000,14.1,1471,3,1,19,6.6,25.3,7.5,11.4,19,168,0
P107,216000,188000,14.7,1033,3,1,33,4.3,26.2,5.9,4.1,34,158,0
P108,255000,230000,10.8,1271,2,2,39,4.3,26.5,7.9,12.8,5,269,1
P109,254000,276000,-8.1,1752,3,3,6,8.1,40.0,3.9,21.7,31,11,0
P110,113000,116000,-2.6,577,1,1,14,8.0,21.9,6.8,9.9,7,106,0
