Weight_g,Diameter_cm,Length_cm,Sweetness,Colour,Fruit
2.2,2.1,2.4,7.1,Green,Grapes
4.8,1.9,2.8,6.9,Green,Grapes
160.7,7.8,8.6,5.7,Green,Apple
224.2,8.5,8.7,6.8,Red,Apple
2.6,1.9,2.2,7.4,Purple,Grapes
99.7,4.4,20.9,7.4,Yellow,Banana
217.3,10.9,12.6,8.8,Yellow,Mango
5.5,2.2,2.1,7.2,Purple,Grapes
203.5,8.6,7.9,6.6,Orange,Orange
156.1,8.7,6.7,5.3,Orange,Orange
118.7,6.1,7.9,5.1,Red,Apple
2.4,2.0,2.5,8.1,Green,Grapes
121.7,7.3,7.5,5.3,Red,Apple
172.4,7.3,7.3,5.0,Red,Apple
223.5,8.4,7.3,6.7,Yellow,Orange
185.1,8.8,6.8,6.7,Green,Apple
120.6,4.2,19.7,8.6,Green,Banana
140.8,7.5,7.7,5.8,Red,Apple
147.2,9.5,7.3,8.2,Red,Apple
179.5,8.8,8.0,7.3,Red,Apple
174.9,6.6,8.2,6.3,Green,Apple
178.8,6.8,8.8,6.8,Green,Apple
4.6,2.4,1.7,7.1,Purple,Grapes
134.4,6.6,8.9,6.5,Red,Apple
116.6,7.1,8.1,5.6,Red,Apple
4.4,2.2,2.0,7.6,Red,Grapes
7.0,1.8,1.9,7.5,Green,Grapes
150.0,7.6,7.7,6.7,Orange,Orange
185.1,7.5,6.6,5.5,Red,Apple
142.0,4.0,19.6,7.2,Yellow,Banana
192.6,6.4,6.6,4.3,Yellow,Orange
200.8,7.8,11.1,9.0,Yellow,Mango
223.9,9.0,8.8,7.7,Yellow,Mango
167.0,7.6,8.4,6.3,Red,Apple
180.7,7.7,9.4,6.0,Red,Apple
273.9,9.4,12.3,9.0,Yellow,Mango
4.4,2.1,2.5,8.1,Green,Grapes
2.4,2.0,2.3,8.8,Green,Grapes
164.8,9.0,5.9,6.7,Red,Apple
6.3,2.4,2.4,6.6,Red,Grapes
7.8,2.2,2.6,10.0,Red,Grapes
112.6,4.4,17.4,6.7,Yellow,Banana
132.4,7.6,8.2,8.1,Red,Apple
110.4,3.1,17.9,6.4,Yellow,Banana
8.4,1.8,2.4,7.5,Green,Grapes
159.0,8.0,9.8,6.0,Yellow,Mango
124.9,2.9,18.3,5.5,Yellow,Banana
119.0,3.6,22.0,5.8,Yellow,Banana
2.0,1.9,3.2,7.6,Green,Grapes
150.7,7.3,7.1,8.4,Red,Apple
135.6,8.4,6.7,7.2,Red,Apple
124.1,3.9,21.4,6.1,Yellow,Banana
176.5,9.8,7.3,6.6,Orange,Orange
149.1,7.8,6.2,6.0,Green,Apple
178.5,6.9,10.1,6.0,Green,Mango
183.3,6.9,7.9,5.5,Green,Apple
6.9,2.1,2.0,8.3,Purple,Grapes
134.2,6.8,7.3,5.9,Green,Apple
199.0,7.8,7.7,7.2,Red,Apple
117.4,3.2,14.5,8.3,Green,Banana
169.1,7.4,8.9,6.3,Red,Apple
158.5,7.5,6.6,5.3,Green,Apple
230.5,8.0,7.8,6.1,Orange,Orange
225.5,7.1,9.8,6.0,Orange,Orange
151.7,6.8,7.7,9.4,Red,Apple
238.8,8.4,10.3,8.0,Green,Mango
5.5,1.9,2.5,6.3,Green,Grapes
268.7,10.9,14.4,8.9,Green,Mango
167.6,8.2,8.2,7.1,Yellow,Orange
180.0,6.8,5.7,4.5,Red,Apple
2.9,2.1,2.2,8.9,Purple,Grapes
149.4,7.6,8.1,6.1,Red,Apple
182.6,8.3,8.4,3.3,Orange,Orange
140.5,2.2,14.5,8.4,Green,Banana
4.0,1.6,2.5,8.7,Green,Grapes
140.0,7.2,7.6,6.2,Yellow,Apple
154.6,3.0,13.7,6.0,Green,Banana
157.6,6.3,7.9,6.3,Green,Apple
8.1,1.9,2.5,8.0,Purple,Grapes
98.1,2.8,16.8,6.5,Yellow,Banana
179.1,8.2,7.4,6.1,Yellow,Apple
211.3,8.2,7.5,6.9,Orange,Orange
196.7,7.1,8.4,6.2,Red,Apple
186.1,8.0,7.0,4.3,Red,Apple
120.8,2.6,19.1,6.9,Yellow,Banana
246.8,9.1,9.1,6.9,Green,Mango
214.0,8.0,9.2,8.9,Green,Mango
199.9,7.4,8.7,5.9,Orange,Orange
204.8,6.5,7.7,7.0,Red,Apple
145.0,3.3,18.5,8.2,Yellow,Banana
147.2,6.5,9.0,7.2,Red,Apple
131.2,7.8,6.9,8.8,Red,Apple
149.5,7.9,6.9,7.3,Green,Apple
192.0,6.1,8.4,6.8,Green,Apple
160.5,8.0,7.7,5.8,Orange,Orange
147.8,7.7,8.0,8.2,Green,Apple
124.1,6.9,6.2,4.6,Red,Apple
203.9,8.4,8.3,7.6,Orange,Orange
8.1,2.2,2.8,9.8,Purple,Grapes
7.2,1.6,1.9,8.0,Purple,Grapes
201.9,7.2,9.0,4.5,Orange,Orange
109.4,9.2,8.1,6.2,Yellow,Apple
5.1,2.5,2.3,7.7,Green,Grapes
158.2,8.3,9.1,5.6,Orange,Orange
147.2,2.8,19.1,8.0,Yellow,Banana
176.9,8.6,8.7,7.7,Yellow,Orange
115.9,3.4,16.1,7.4,Yellow,Banana
132.0,7.3,7.9,6.4,Red,Apple
185.3,8.3,15.2,7.8,Orange,Mango
120.9,8.9,6.7,6.7,Yellow,Apple
166.6,6.8,5.8,7.6,Red,Apple
102.8,8.0,10.1,8.5,Yellow,Mango
210.0,7.4,7.8,5.3,Orange,Orange
7.1,2.0,2.6,6.7,Green,Grapes
180.8,7.8,8.5,8.5,Orange,Orange
171.1,8.2,7.6,6.1,Green,Apple
5.2,1.8,1.9,7.2,Red,Grapes
203.9,6.9,8.1,8.1,Red,Apple
242.6,6.9,11.2,8.3,Green,Mango
188.2,7.1,7.2,9.0,Red,Apple
186.4,7.4,8.3,7.8,Red,Apple
94.4,2.5,19.0,7.8,Yellow,Banana
109.5,8.2,7.4,4.6,Red,Apple
109.9,4.3,21.3,7.1,Yellow,Banana
96.8,3.8,17.0,7.8,Yellow,Banana
166.6,8.6,9.0,9.5,Yellow,Mango
177.6,7.1,6.7,6.4,Green,Apple
173.0,7.3,6.3,6.4,Green,Apple
226.6,9.0,6.9,8.0,Orange,Orange
126.2,4.5,18.9,6.6,Green,Banana
172.9,7.7,7.1,9.6,Green,Apple
189.1,8.2,9.0,4.7,Orange,Orange
218.3,7.4,8.9,6.5,Yellow,Orange
176.0,8.8,6.2,7.8,Green,Apple
150.5,8.3,8.5,5.5,Red,Apple
5.9,2.0,2.2,6.7,Red,Grapes
185.2,7.4,5.9,5.0,Red,Apple
82.8,4.0,18.0,6.3,Yellow,Banana
9.2,2.3,1.9,6.8,Green,Grapes
208.1,7.5,7.4,7.2,Red,Apple
162.2,7.9,7.3,7.6,Red,Apple
4.5,2.0,2.3,7.8,Purple,Grapes
120.2,4.5,18.0,7.3,Yellow,Banana
229.8,8.5,10.2,6.4,Green,Mango
131.2,8.9,10.7,7.9,Orange,Mango
102.1,3.3,18.2,7.6,Yellow,Banana
108.9,3.7,10.7,6.4,Yellow,Banana
4.8,2.1,2.2,9.7,Green,Grapes
130.3,7.6,7.8,6.8,Red,Apple
2.0,1.9,2.5,7.7,Green,Grapes
8.6,2.1,2.2,7.9,Green,Grapes
132.7,3.5,21.0,7.5,Yellow,Banana
165.4,6.3,8.7,6.4,Orange,Orange
108.2,6.4,6.5,5.4,Red,Apple
84.3,3.0,15.5,6.4,Yellow,Banana
147.5,7.6,6.3,6.0,Red,Apple
146.4,7.4,9.2,5.9,Yellow,Mango
130.3,4.2,19.0,6.7,Green,Banana
3.6,2.1,2.2,7.1,Purple,Grapes
98.4,3.4,20.3,7.1,Yellow,Banana
148.5,8.5,6.5,7.0,Red,Apple
95.0,4.0,17.7,8.5,Green,Banana
